name2replace,name2replace_with,
床,木製床榻,
書桌,四腳書案,
衣櫃,衣箱,
貨架,木製貨架,
畫架,畫案,
浴室洗手池,銅盆洗手檯,
淋浴,木桶浴具,
馬桶,馬桶椅,
廚房水槽,洗菜石槽,
冰箱,冰鑑,
烤麵包機,烤餅爐,
炊事區,炊房灶臺,
公共休息室桌子,公共長桌,
公共休息室沙發,公共條凳,
吉他,琴瑟,
麥克風,拍板,
酒吧顧客座位,酒樓客座椅,
酒吧櫃檯後面,酒樓櫃檯,
咖啡店櫃檯後面,茶樓櫃檯,
咖啡店顧客座位,茶樓客座椅,
鋼琴,古琴,
黑板,白板書架,
遊戲機,博戲桌,
電腦桌,文房桌,
電腦,算籌,
圖書館沙發,閱書榻,
書架,竹製書架,
圖書館桌子,文會桌,
學生座椅,書房椅,
教室講臺,文房四寶,
藥店櫃檯後面,藥鋪櫃檯,
雜貨店櫃檯後面,雜貨店櫃檯,
藥店貨架,藥鋪架子,
雜貨店貨架,雜貨店架子,
藥店櫃檯,藥鋪臺案,
雜貨店櫃檯,雜貨臺案,
供應店產品貨架,供應品貨架,
供應店櫃檯後面,供應店櫃檯,
供應店櫃檯,商鋪臺案,
宿舍花園,宿舍小庭院,
房子花園,四合院花園,
花園椅子,石凳,
公園花園,公園亭子,
豎琴,古箏,
舉重,石鎖舉重,
檯球桌,琴棋桌,